time,pos1,pos2,vel1,vel2,tau1,tau2
2.060999999999985732e+00,6.545998536925876632e-01,-1.463911187065403130e+00,2.023452259113571738e+00,-3.364048769065292266e+00,0.000000000000000000e+00,-1.708666839746242871e+01
2.065499999999985903e+00,6.637053888585987549e-01,-1.479049406526196986e+00,2.046640541723041551e+00,-3.409134936652525205e+00,0.000000000000000000e+00,-1.734739366109331371e+01
2.069999999999986073e+00,6.729152712963524241e-01,-1.494390513741133297e+00,2.069906454618659630e+00,-3.454447247412582023e+00,0.000000000000000000e+00,-1.760209887339393120e+01
2.074499999999986244e+00,6.822298503421363458e-01,-1.509935526354490021e+00,2.093215418514385640e+00,-3.499919155661426196e+00,0.000000000000000000e+00,-1.784926634501484344e+01
2.078999999999986414e+00,6.916493197254510727e-01,-1.525685162554966334e+00,2.116529170798035597e+00,-3.545477147521774341e+00,0.000000000000000000e+00,-1.808727264092810216e+01
2.083499999999986585e+00,7.011737009940421927e-01,-1.541639809718814424e+00,2.139805680022427659e+00,-3.591040615824862225e+00,0.000000000000000000e+00,-1.831439868207795385e+01
2.087999999999986755e+00,7.108028265541430635e-01,-1.557799492490026250e+00,2.162999107163642520e+00,-3.636521832134241627e+00,0.000000000000000000e+00,-1.852884369749741822e+01
2.092499999999986926e+00,7.205363225363794477e-01,-1.574163840734630337e+00,2.186059821907121670e+00,-3.681826032394418302e+00,0.000000000000000000e+00,-1.872874323244101902e+01
2.096999999999987097e+00,7.303735917349615248e-01,-1.590732057880405170e+00,2.208934481719656784e+00,-3.726851631635768047e+00,0.000000000000000000e+00,-1.891219126459793287e+01
2.101499999999987267e+00,7.403137969026999388e-01,-1.607502890222766156e+00,2.231566180471307614e+00,-3.771490581104885553e+00,0.000000000000000000e+00,-1.907726628997491503e+01
2.105999999999987438e+00,7.503558447148208632e-01,-1.624474597837738177e+00,2.253894671840661612e+00,-3.815628878047395478e+00,0.000000000000000000e+00,-1.922206101941870671e+01
2.110499999999987608e+00,7.604983707381038904e-01,-1.641644927788951547e+00,2.275856670658585212e+00,-3.859147234128432302e+00,0.000000000000000000e+00,-1.934471508767839154e+01
2.114999999999987779e+00,7.707397257560675286e-01,-1.659011090342529471e+00,2.297386232752968827e+00,-3.901921903203986020e+00,0.000000000000000000e+00,-1.944344993576036273e+01
2.119499999999987949e+00,7.810779638034558436e-01,-1.676569738906947382e+00,2.318415210834848583e+00,-3.943825663027235695e+00,0.000000000000000000e+00,-1.951660480423161204e+01
2.123999999999988120e+00,7.915108322522126372e-01,-1.694316954390569840e+00,2.338873780653493384e+00,-3.984728938769261486e+00,0.000000000000000000e+00,-1.956267259221485588e+01
2.128499999999988290e+00,8.020357642651533281e-01,-1.712248234615031617e+00,2.358691028233258269e+00,-4.024501049334200609e+00,0.000000000000000000e+00,-1.958033421579985855e+01
2.132999999999988461e+00,8.126498738922030007e-01,-1.730358489337035621e+00,2.377795585715241522e+00,-4.063011550812530182e+00,0.000000000000000000e+00,-1.956849005883107040e+01
2.137499999999988631e+00,8.233499540279215489e-01,-1.748642041315692008e+00,2.396116300408700717e+00,-4.100131645538766634e+00,0.000000000000000000e+00,-1.952628716067385994e+01
2.141999999999988802e+00,8.341324773797607062e-01,-1.767092633720616535e+00,2.413582919352834644e+00,-4.135735620587428940e+00,0.000000000000000000e+00,-1.945314093315392512e+01
2.146499999999988972e+00,8.449936005168484643e-01,-1.785703444013259977e+00,2.430126770209439790e+00,-4.169702276575113054e+00,0.000000000000000000e+00,-1.934875043601272182e+01
2.150999999999989143e+00,8.559291709827909767e-01,-1.804467104257847954e+00,2.445681418804324991e+00,-4.201916306642472954e+00,0.000000000000000000e+00,-1.921310655064553785e+01
2.155499999999989313e+00,8.669347373674104462e-01,-1.823375727637739141e+00,2.460183284185761377e+00,-4.232269586616546952e+00,0.000000000000000000e+00,-1.904649275096973682e+01
2.159999999999989484e+00,8.780055621462463655e-01,-1.842420940777513616e+00,2.473572193657910478e+00,-4.260662340569975726e+00,0.000000000000000000e+00,-1.884947854795747446e+01
2.164499999999989654e+00,8.891366370177069545e-01,-1.861593921310078503e+00,2.485791862772639860e+00,-4.287004151087669079e+00,0.000000000000000000e+00,-1.862290604890255352e+01
2.168999999999989825e+00,9.003227004001838063e-01,-1.880885439989973040e+00,2.496790288542093172e+00,-4.311214790153456100e+00,0.000000000000000000e+00,-1.836787039437254165e+01
2.173499999999989996e+00,9.115582566986232260e-01,-1.900285906545663650e+00,2.506520047926214190e+00,-4.333224854192764042e+00,0.000000000000000000e+00,-1.808569509127799080e+01
2.177999999999990166e+00,9.228375969142912361e-01,-1.919785418389531095e+00,2.514938497682435159e+00,-4.352976194904056406e+00,0.000000000000000000e+00,-1.777790343401091278e+01
2.182499999999990337e+00,9.341548201538621976e-01,-1.939373811266599246e+00,2.522007875665064347e+00,-4.370422145529987645e+00,0.000000000000000000e+00,-1.744618729093092213e+01
2.186999999999990507e+00,9.455038555943550138e-01,-1.959040710921484241e+00,2.527695307380823042e+00,-4.385527549658777779e+00,0.000000000000000000e+00,-1.709237453337900803e+01
2.191499999999990678e+00,9.568784844775687359e-01,-1.978775584894948647e+00,2.531972724842114442e+00,-4.398268606101111367e+00,0.000000000000000000e+00,-1.671839630920747766e+01
2.195999999999990848e+00,9.682723617393582671e-01,-1.998567793622403554e+00,2.534816707368452882e+00,-4.408632548573135246e+00,0.000000000000000000e+00,-1.632625522817280839e+01
2.200499999999991019e+00,9.796790369225163442e-01,-2.018406640090982584e+00,2.536208255891366559e+00,-4.416617182678178821e+00,0.000000000000000000e+00,-1.591799535086085449e+01
2.204999999999991189e+00,9.910919740740274930e-01,-2.038281417413034369e+00,2.536132513503237096e+00,-4.422230304989991367e+00,0.000000000000000000e+00,-1.549567467486239636e+01
2.209499999999991360e+00,1.002504570384792126e+00,-2.058181453785489445e+00,2.534578445493108401e+00,-4.425489029976895416e+00,0.000000000000000000e+00,-1.506134060883316472e+01
2.213999999999991530e+00,1.013910173389511060e+00,-2.078096154420385311e+00,2.531538492009858032e+00,-4.426419050228843410e+00,0.000000000000000000e+00,-1.461700873100891940e+01
